# AGH 过滤明细日志 - 生成于 2026-02-18 10:26:53.096248
# 总计过滤: 6039 条
================================================================================
[白名单] @@||ui.ads.microsoft.com^                # 被父域 [ads.microsoft.com] 覆盖
[黑名单] ||ads3.adviad.com^                       # 被父域 [adviad.com] 覆盖
[黑名单] ||ads4.adviad.com^                       # 被父域 [adviad.com] 覆盖
[黑名单] ||adsmind.gdtimg.com^                    # 被父域 [gdtimg.com] 覆盖
[黑名单] ||adstat.4u.pl^                          # 被父域 [4u.pl] 覆盖
[黑名单] ||adv.publy.net^                         # 被父域 [publy.net] 覆盖
[黑名单] ||ae.gsecondscreen.com^                  # 被父域 [gsecondscreen.com] 覆盖
[黑名单] ||af.click.ru^                           # 被父域 [click.ru] 覆盖
[黑名单] ||affiliate.2mdn.net^                    # 被父域 [2mdn.net] 覆盖
[黑名单] ||afinder.oewabox.at^                    # 被父域 [oewabox.at] 覆盖
[黑名单] ||aim.loc.kr^                            # 被父域 [loc.kr] 覆盖
[黑名单] ||airs.adpinfo.com^                      # 被父域 [adpinfo.com] 覆盖
[黑名单] ||akaads-espn.starwave.com^              # 被父域 [starwave.com] 覆盖
[黑名单] ||akatracking.esearchvision.com^         # 被父域 [esearchvision.com] 覆盖
[黑名单] ||akr.usesfathom.com^                    # 被父域 [usesfathom.com] 覆盖
[黑名单] ||alpha.easy-hit-counters.com^           # 被父域 [easy-hit-counters.com] 覆盖
[黑名单] ||alphalux.oewabox.at^                   # 被父域 [oewabox.at] 覆盖
[黑名单] ||altg.widerplanet.com^                  # 被父域 [widerplanet.com] 覆盖
[黑名单] ||amazon-email.branch.rocks^             # 被父域 [branch.rocks] 覆盖
[黑名单] ||analytics*.carambo.la^                 # 被父域 [carambo.la] 覆盖
[黑名单] ||analytics-script.ad-shield.io^         # 被父域 [ad-shield.io] 覆盖
[黑名单] ||analytics.adjust.world^                # 被父域 [adjust.world] 覆盖
[黑名单] ||analytics.ahrefs.com^                  # 被父域 [ahrefs.com] 覆盖
